,product_name,product_link,ingredient_name
336,Doritos Dippers Sharing Tortilla Crisps & Pulled Pork Nachos Bundle,https://groceries.asda.com/product/tortilla-chips-dips/doritos-dippers-sharing-tortilla-crisps-pulled-pork-nachos-bundle/9999999113475,Paprika
337,Frank's RedHot Original Cayenne Pepper Sauce,https://groceries.asda.com/product/hot-chilli-sauces/franks-red-hot-original-cayenne-pepper-sauce/910000566892,Cayenne pepper
338,COOK by ASDA Cayenne Chilli Pepper,https://groceries.asda.com/product/spices/cook-by-asda-cayenne-chilli-pepper/23493,Cayenne pepper
339,Melis Picked Hot Cayenne Peppers,https://groceries.asda.com/product/olives-antipasti-pizza-bases/melis-picked-hot-cayenne-peppers/1000209848429,Cayenne pepper
340,Franks Pizza Bundle,https://groceries.asda.com/product/hot-chilli-sauces/franks-pizza-bundle/9999999113653,Cayenne pepper
341,Schwartz Cayenne Chilli Pepper,https://groceries.asda.com/product/spices/schwartz-cayenne-chilli-pepper/390021,Cayenne pepper
342,Franks RedHot Pizza Bundle,https://groceries.asda.com/product/hot-chilli-sauces/franks-red-hot-pizza-bundle/9999999113655,Cayenne pepper
343,COOK by ASDA Paprika,https://groceries.asda.com/product/spices/cook-by-asda-paprika/23485,Cayenne pepper
344,ASDA Garlic Granules,https://groceries.asda.com/product/herbs/asda-garlic-granules/414520,Cayenne pepper
345,COOK by ASDA Smoked Paprika,https://groceries.asda.com/product/spices/cook-by-asda-smoked-paprika/57704799,Cayenne pepper
346,ASDA Ground Cumin,https://groceries.asda.com/product/spices/asda-ground-cumin/414513,Cayenne pepper
347,COOK by ASDA Garlic Salt,https://groceries.asda.com/product/herbs/cook-by-asda-garlic-salt/414519,Cayenne pepper
348,ASDA Crisp & Fragrant Sweet Peppers 3 Pack (Colour may vary),https://groceries.asda.com/product/tomatoes-peppers/asda-crisp-fragrant-sweet-peppers-3-pack-colour-may-vary/910003188356,Cayenne pepper
349,Bakers Small Dry Dog Food Chicken and Veg,https://groceries.asda.com/product/dry-dog-food/bakers-small-dry-dog-food-chicken-and-veg/1000036796313,Chicken or vegetable broth
